ID,tl,sex,scaleAge_TAL,scaleAge_DHO,scaleAge,otoAge_TAL,otoAge_DHO,otoAge
140001,195,female,4,4,4,6,5,5
140002,212,female,6,6,6,13,13,13
140003,220,female,4,4,4,6,7,7
140004,214,female,5,5,5,7,9,9
140005,225,female,5,5,5,11,11,11
140006,211,female,5,5,5,8,8,8
140007,187,female,5,4,5,6,6,6
140008,217,female,5,6,6,12,11,11
140009,219,female,NA,NA,NA,11,12,11
140010,223,female,6,6,6,7,7,7
140011,195,female,5,5,5,9,9,9
140012,229,female,5,7,6,NA,NA,NA
140013,174,female,NA,NA,NA,6,6,6
140014,186,male,NA,NA,NA,6,6,6
140015,225,female,5,6,6,9,9,9
140016,241,female,8,7,8,8,8,8
140017,231,male,7,8,8,11,10,10
140018,205,female,4,5,5,11,12,11
140019,190,male,5,4,4,5,6,5
140020,225,female,5,6,6,10,8,10
140021,227,female,6,4,5,16,15,16
140022,187,male,5,5,5,8,10,10
140023,174,male,4,5,5,6,6,6
140024,221,female,8,7,7,11,11,11
140025,174,female,5,5,5,10,10,10
140026,225,female,5,6,6,12,11,11
140027,238,female,7,8,8,10,10,10
140028,208,female,6,6,6,11,11,11
140029,219,female,5,6,6,NA,NA,NA
140030,226,female,5,7,7,10,10,10
140031,184,female,4,4,4,5,5,5
140032,233,female,6,7,7,NA,NA,NA
140033,219,female,4,4,4,5,5,5
140034,225,female,7,7,7,10,10,10
140035,226,female,6,8,7,NA,NA,NA
140037,200,female,5,5,5,5,5,5
140038,239,female,6,6,6,12,12,12
140040,210,female,4,6,5,NA,NA,NA
140041,190,female,4,4,4,NA,NA,NA
140042,211,female,4,6,6,11,11,11
140043,235,female,6,7,7,11,11,11
140044,225,female,5,5,5,10,10,10
140045,199,female,5,7,6,9,11,11
140046,196,female,NA,NA,NA,8,9,9
140047,203,female,NA,NA,NA,10,10,10
140048,191,female,NA,NA,NA,11,11,11
140049,206,female,NA,NA,NA,12,12,12
140050,228,female,NA,NA,NA,12,11,11
140052,188,female,NA,NA,NA,11,11,11
140053,202,female,NA,NA,NA,7,7,7
140055,193,female,NA,NA,NA,8,7,8
140056,162,female,NA,NA,NA,7,6,6
140057,170,female,NA,NA,NA,6,6,6
140058,200,female,NA,NA,NA,8,8,8
140059,210,female,NA,NA,NA,11,11,11
140060,220,female,NA,NA,NA,11,11,11
140061,220,female,NA,NA,NA,10,10,10
140062,168,female,NA,NA,NA,6,6,6
140063,175,female,NA,NA,NA,10,10,10
140064,225,female,NA,NA,NA,12,11,11
140065,192,male,NA,NA,NA,11,11,11
140066,190,female,NA,NA,NA,7,6,6
140067,210,female,NA,NA,NA,11,11,11
140068,188,female,NA,NA,NA,6,6,6
140069,189,female,NA,NA,NA,6,6,6
140070,216,female,NA,NA,NA,14,14,14
140071,174,female,NA,NA,NA,10,11,10
140073,207,female,NA,NA,NA,9,9,9
140074,202,female,NA,NA,NA,6,6,6
140075,160,female,NA,NA,NA,5,5,5
140076,172,male,NA,NA,NA,5,5,5
140077,182,female,NA,NA,NA,6,6,6
140078,175,female,NA,NA,NA,5,5,5
140079,174,male,NA,NA,NA,6,6,6
140080,166,male,NA,NA,NA,5,5,5
140081,232,female,NA,NA,NA,9,9,9
140082,193,female,NA,NA,NA,9,9,9
140083,185,male,NA,NA,NA,5,5,5
140084,189,female,NA,NA,NA,12,12,12
140085,177,female,NA,NA,NA,5,6,5
140086,173,male,NA,NA,NA,5,4,5
140087,165,male,NA,NA,NA,6,6,6
140088,190,female,NA,NA,NA,10,10,10
140089,218,male,NA,NA,NA,9,9,9
140090,184,female,NA,NA,NA,5,5,5
140091,198,female,NA,NA,NA,10,10,10
140092,189,female,NA,NA,NA,12,11,11
140093,197,male,NA,NA,NA,10,10,10
140095,186,male,NA,NA,NA,6,5,5
140099,168,female,NA,NA,NA,10,10,10
140100,165,male,NA,NA,NA,5,5,5
140101,142,female,NA,NA,NA,6,6,6
140102,168,female,NA,NA,NA,6,6,6
140103,187,male,NA,NA,NA,6,5,5
140107,207,male,NA,NA,NA,10,10,10
140110,175,male,NA,NA,NA,5,6,5
140111,202,male,NA,NA,NA,6,6,6
140112,201,male,NA,NA,NA,11,11,11
140113,150,male,NA,NA,NA,5,5,5
140114,220,male,NA,NA,NA,8,9,9
140115,169,male,NA,NA,NA,6,5,5
140116,188,male,NA,NA,NA,6,6,6
140117,240,female,NA,NA,NA,9,9,9
140118,240,female,NA,NA,NA,10,10,10
140119,219,female,NA,NA,NA,13,13,13
140120,225,female,NA,NA,NA,11,11,11
140123,218,female,NA,NA,NA,19,20,20
140125,206,female,NA,NA,NA,13,11,12
140126,212,female,NA,NA,NA,11,11,11
140127,186,male,NA,NA,NA,5,5,5
140129,190,male,NA,NA,NA,6,5,5
140130,224,female,NA,NA,NA,10,12,11
140131,204,male,NA,NA,NA,6,6,6
140132,200,male,NA,NA,NA,12,12,12
140133,200,female,NA,NA,NA,10,10,10
140134,181,female,NA,NA,NA,5,5,5
140137,206,female,NA,NA,NA,7,7,7
140139,152,male,NA,NA,NA,5,6,5
140140,179,female,NA,NA,NA,7,7,7
140141,181,female,NA,NA,NA,11,11,11
140142,181,male,NA,NA,NA,7,6,7
140143,187,female,NA,NA,NA,5,5,5
140144,174,female,NA,NA,NA,6,5,5
140145,171,female,NA,NA,NA,7,6,6
140147,176,female,NA,NA,NA,6,6,6
140148,167,male,NA,NA,NA,6,6,6
140149,161,male,NA,NA,NA,7,6,6
140150,180,female,NA,NA,NA,6,6,6
140152,177,female,NA,NA,NA,6,5,5
140153,185,female,NA,NA,NA,5,5,5
140154,239,female,NA,NA,NA,14,15,15
140156,222,female,NA,NA,NA,6,6,6
140157,213,male,NA,NA,NA,10,10,10
140160,196,male,NA,NA,NA,5,5,5
140162,171,male,NA,NA,NA,6,6,6
140163,169,female,NA,NA,NA,6,6,6
140164,199,female,NA,NA,NA,11,11,11
140166,180,male,4,5,5,4,4,4
140167,225,male,5,4,5,10,11,10
140168,176,female,3,3,3,5,5,5
140171,174,female,3,4,4,5,5,5
140173,175,male,4,4,4,6,5,5
140174,193,male,4,4,4,6,6,6
140179,202,male,6,5,6,6,5,5
140180,197,male,4,4,4,6,6,6
140182,209,male,6,7,6,11,11,11
140183,185,female,4,4,4,6,6,6
140186,184,female,5,5,5,5,5,5
140190,184,female,5,6,5,9,10,10
140191,175,male,4,4,4,4,4,4
140192,163,male,5,4,4,6,6,6
140193,218,male,6,7,7,10,11,11
140194,202,male,4,4,4,5,5,5
140195,242,male,NA,NA,NA,10,11,11
140196,163,female,NA,NA,NA,6,5,5
140197,220,male,4,4,4,5,5,5
140199,165,female,4,4,4,5,5,5
140200,212,male,4,6,6,11,11,11
140201,212,male,5,6,6,10,10,10
140202,168,male,3,4,3,5,5,5
140203,166,female,4,4,4,5,5,5
140204,212,male,NA,NA,NA,8,9,9
140205,202,female,NA,NA,NA,9,10,10
140206,212,female,NA,NA,NA,12,12,12
140207,224,female,NA,NA,NA,11,11,11
140208,196,male,NA,NA,NA,7,7,7
140209,222,female,NA,NA,NA,12,12,12
140210,225,female,NA,NA,NA,8,8,8
140211,196,male,NA,NA,NA,6,6,6
140212,209,female,NA,NA,NA,6,6,6
140213,198,female,NA,NA,NA,11,11,11
140214,177,male,NA,NA,NA,5,5,5
140216,231,male,NA,NA,NA,10,12,11
140218,166,male,NA,NA,NA,5,5,5
140219,199,female,NA,NA,NA,8,8,8
140220,218,female,NA,NA,NA,11,12,11
140221,238,female,NA,NA,NA,11,11,11
140222,211,female,NA,NA,NA,9,9,9
140223,188,male,NA,NA,NA,6,5,5
140224,195,female,NA,NA,NA,5,5,5
140227,180,male,NA,NA,NA,6,6,6
140228,214,female,NA,NA,NA,11,11,11
140229,178,male,NA,NA,NA,6,6,6
140230,180,female,NA,NA,NA,8,8,8
140231,204,male,NA,NA,NA,11,11,11
140232,203,male,NA,NA,NA,11,10,11
140234,211,female,NA,NA,NA,11,12,11
140235,222,female,NA,NA,NA,10,10,11
140236,219,male,NA,NA,NA,5,5,5
140237,204,female,NA,NA,NA,6,6,6
140238,200,female,NA,NA,NA,12,12,12
140239,194,female,NA,NA,NA,6,6,6
140240,222,female,NA,NA,NA,16,16,16
140241,189,female,NA,NA,NA,10,11,11
140242,181,female,NA,NA,NA,6,7,7
140243,201,male,NA,NA,NA,5,6,5
140244,183,male,NA,NA,NA,6,6,6
140245,187,male,NA,NA,NA,5,5,5
140247,212,female,NA,NA,NA,11,11,11
140248,192,female,NA,NA,NA,4,4,4
140249,175,female,NA,NA,NA,6,6,6
140250,169,male,NA,NA,NA,6,6,6
140251,169,female,NA,NA,NA,5,5,5
140253,173,female,NA,NA,NA,5,5,5
140254,179,male,NA,NA,NA,6,6,6
140255,175,male,NA,NA,NA,6,6,6
140256,220,female,NA,NA,NA,12,12,12
140258,165,male,NA,NA,NA,6,6,6
140259,165,female,NA,NA,NA,5,6,5
140260,192,male,NA,NA,NA,6,6,6
140262,183,male,NA,NA,NA,7,7,7
140263,178,female,NA,NA,NA,6,6,6
140264,220,female,NA,NA,NA,11,11,11
140265,201,female,NA,NA,NA,8,11,11
140266,185,female,NA,NA,NA,11,11,11
140267,184,female,NA,NA,NA,11,11,11
140268,208,female,NA,NA,NA,11,11,11
140269,186,male,NA,NA,NA,6,5,5
140270,210,female,NA,NA,NA,9,9,9
140271,185,female,NA,NA,NA,5,5,5
140272,211,female,NA,NA,NA,6,6,6
140273,195,male,NA,NA,NA,5,5,5
140274,198,female,NA,NA,NA,10,11,11
140275,203,female,NA,NA,NA,11,12,11
140276,219,female,NA,NA,NA,11,11,11
140277,214,female,NA,NA,NA,12,12,12
140278,162,female,NA,NA,NA,5,5,5
140279,195,male,NA,NA,NA,5,5,5
140280,200,female,NA,NA,NA,12,12,12
140281,214,female,NA,NA,NA,11,11,11
140282,194,female,NA,NA,NA,6,5,5
140283,168,male,NA,NA,NA,5,5,5
140285,163,male,NA,NA,NA,7,6,6
140286,192,female,NA,NA,NA,6,6,6
140287,180,female,NA,NA,NA,6,6,6
140288,204,female,NA,NA,NA,11,11,11
140289,189,female,NA,NA,NA,5,5,5
140291,196,female,NA,NA,NA,12,11,11
140292,183,male,NA,NA,NA,9,10,10
140293,198,female,NA,NA,NA,11,11,11
140294,166,female,NA,NA,NA,6,5,5
140295,169,female,NA,NA,NA,7,6,6
140296,163,male,NA,NA,NA,6,6,6
140298,196,male,NA,NA,NA,11,12,11
140299,172,female,NA,NA,NA,6,6,6
140300,169,female,NA,NA,NA,6,6,6
140301,214,male,NA,NA,NA,10,10,10
140302,170,male,NA,NA,NA,5,5,5
140303,170,male,NA,NA,NA,6,5,5
140304,175,female,NA,NA,NA,4,4,4
140306,206,male,NA,NA,NA,11,11,11
140307,158,female,NA,NA,NA,7,7,7
140309,155,female,NA,NA,NA,7,6,6
140310,153,male,NA,NA,NA,6,6,6
140311,157,female,NA,NA,NA,5,5,5
140312,204,male,NA,NA,NA,11,11,11
140313,166,male,NA,NA,NA,6,6,6
140317,206,male,NA,NA,NA,8,9,NA
140320,165,female,NA,NA,NA,5,5,5
140321,157,male,NA,NA,NA,5,5,5
140323,167,male,NA,NA,NA,5,5,5
140324,165,female,NA,NA,NA,5,5,5
140325,156,male,NA,NA,NA,5,5,5
140326,153,female,NA,NA,NA,6,6,6
140327,162,female,NA,NA,NA,6,6,6
140328,228,female,NA,NA,NA,11,11,11
140329,163,male,NA,NA,NA,6,6,6
140330,168,male,NA,NA,NA,5,6,5
140331,212,male,NA,NA,NA,11,11,11
140332,159,female,NA,NA,NA,6,6,6
140333,210,male,NA,NA,NA,11,11,11
140334,222,female,NA,NA,NA,12,11,11
