id,species,locyr,tl,wt,scale_1,scale_2,scale_3,otolith_1,otolith_2,otolith_3
2441,LMB,Pleasant Hill_2013,226,129,3,1,4,2,2,2
2442,LMB,Pleasant Hill_2013,268,216,4,2,3,2,2,2
2443,LMB,Pleasant Hill_2013,267,229,3,2,4,2,2,2
2444,LMB,Pleasant Hill_2013,266,229,4,2,4,2,2,2
2445,LMB,Pleasant Hill_2013,311,377,4,3,5,3,3,3
2446,LMB,Pleasant Hill_2013,276,238,2,2,3,2,2,2
2447,LMB,Pleasant Hill_2013,273,250,NA,2,4,2,2,2
2448,LMB,Pleasant Hill_2013,444,1460,12,8,11,8,8,8
2449,LMB,Pleasant Hill_2013,316,397,NA,4,7,3,3,3
2450,LMB,Pleasant Hill_2013,353,658,9,3,8,4,4,4
2451,LMB,Pleasant Hill_2013,208,102,4,1,3,2,2,2
2452,LMB,Pleasant Hill_2013,368,804,NA,5,8,5,5,5
2454,LMB,Pleasant Hill_2013,154,36,1,1,2,1,1,1
2455,LMB,Pleasant Hill_2013,425,979,9,7,10,6,6,6
2456,LMB,Pleasant Hill_2013,151,36,1,1,2,1,1,1
2457,LMB,Pleasant Hill_2013,389,765,7,6,9,6,6,6
2075,LMB,Pleasant Hill_2014,439,1026,8,NA,7,7,7,7
2076,LMB,Pleasant Hill_2014,333,451,5,4,5,5,5,5
2077,LMB,Pleasant Hill_2014,264,245,2,2,2,2,2,2
2078,LMB,Pleasant Hill_2014,228,128,2,2,2,2,2,2
2079,LMB,Pleasant Hill_2014,236,155,3,2,2,2,2,2
2080,LMB,Pleasant Hill_2014,384,755,6,6,6,6,6,5
2081,LMB,Pleasant Hill_2014,262,193,2,3,2,2,2,2
2082,LMB,Pleasant Hill_2014,252,179,2,2,2,2,2,2
2083,LMB,Pleasant Hill_2014,305,320,2,3,2,3,3,3
2084,LMB,Pleasant Hill_2014,271,263,2,3,2,2,2,2
2085,LMB,Pleasant Hill_2014,306,392,4,4,3,4,4,3
2086,LMB,Pleasant Hill_2014,325,478,3,3,4,3,3,3
2087,LMB,Pleasant Hill_2014,285,292,2,4,3,2,2,2
2088,LMB,Pleasant Hill_2014,350,539,4,4,4,4,4,4
2089,LMB,Pleasant Hill_2014,246,173,2,2,2,2,2,2
2090,LMB,Pleasant Hill_2014,341,522,5,4,3,4,4,4
2091,LMB,Pleasant Hill_2014,363,643,NA,NA,4,4,4,3
2092,LMB,Pleasant Hill_2014,425,1267,6,6,7,6,6,5
2094,LMB,Pleasant Hill_2014,415,1087,6,6,6,8,8,7
2095,LMB,Pleasant Hill_2014,348,555,5,5,3,4,4,4
2096,LMB,Pleasant Hill_2014,317,402,4,3,3,3,3,3
2098,LMB,Pleasant Hill_2014,403,965,5,5,7,6,6,6
2103,LMB,Pleasant Hill_2014,351,578,4,4,4,4,4,4
2105,LMB,Pleasant Hill_2014,331,479,7,5,3,4,4,3
2106,LMB,Pleasant Hill_2014,338,518,3,4,3,3,3,3
2110,LMB,Pleasant Hill_2014,298,341,3,3,3,3,3,3
2111,LMB,Pleasant Hill_2014,234,143,2,2,2,2,2,2
2112,LMB,Pleasant Hill_2014,236,147,2,2,2,2,2,2
2113,LMB,Pleasant Hill_2014,241,154,2,2,2,2,2,2
2116,LMB,Pleasant Hill_2014,293,311,3,4,2,2,2,2
2119,LMB,Pleasant Hill_2014,474,1563,10,7,7,8,8,8
2120,LMB,Pleasant Hill_2014,343,506,5,NA,4,4,4,3
2126,LMB,Pleasant Hill_2014,437,1275,8,5,6,7,7,7
2128,LMB,Pleasant Hill_2014,417,1105,9,7,5,7,7,7
2493,LMB,Pleasant Hill_2014,250,190,2,2,2,2,2,2
2494,LMB,Pleasant Hill_2014,396,812,6,6,6,7,7,7
2495,LMB,Pleasant Hill_2014,328,476,3,3,2,3,3,3
2496,LMB,Pleasant Hill_2014,384,729,5,5,4,4,4,4
2497,LMB,Pleasant Hill_2014,439,1229,8,7,8,10,10,9
2499,LMB,Pleasant Hill_2014,479,1533,8,8,7,9,9,8
2500,LMB,Pleasant Hill_2014,156,40,2,1,2,2,2,2
2501,LMB,Pleasant Hill_2014,360,602,5,5,3,NA,NA,NA
2503,LMB,Pleasant Hill_2014,150,32,1,1,1,1,1,2
2504,LMB,Pleasant Hill_2014,390,978,9,7,7,7,6,6
2505,LMB,Pleasant Hill_2014,166,43,1,1,2,1,1,1
2506,LMB,Pleasant Hill_2014,361,575,5,4,4,5,5,3
2510,LMB,Pleasant Hill_2014,451,1327,9,6,6,7,7,6
2512,LMB,Pleasant Hill_2014,212,129,2,2,2,2,2,2
2513,LMB,Pleasant Hill_2014,241,187,2,2,2,NA,NA,NA
2514,LMB,Pleasant Hill_2014,146,29,1,1,1,1,1,1
2515,LMB,Pleasant Hill_2014,147,37,1,1,1,1,1,1
2516,LMB,Pleasant Hill_2014,151,41,1,1,1,1,1,1
2517,LMB,Pleasant Hill_2014,417,1125,5,6,5,5,5,5
2518,LMB,Pleasant Hill_2014,421,1125,7,7,7,7,7,7
2519,LMB,Pleasant Hill_2014,315,431,3,4,4,3,3,3
2524,LMB,Pleasant Hill_2014,463,1602,7,6,7,9,9,7
2527,LMB,Pleasant Hill_2014,350,571,4,4,4,4,4,4
2528,LMB,Pleasant Hill_2014,148,26,1,1,1,1,1,2
2530,LMB,Pleasant Hill_2014,452,1306,8,6,6,7,7,7
2532,LMB,Pleasant Hill_2014,243,164,2,NA,2,2,2,2
2533,LMB,Pleasant Hill_2014,260,193,2,3,2,2,2,2
2534,LMB,Pleasant Hill_2014,311,372,3,3,4,3,3,3
2536,LMB,Pleasant Hill_2014,351,491,8,5,4,NA,NA,NA
2538,LMB,Pleasant Hill_2014,288,313,3,3,2,3,3,3
2539,LMB,Pleasant Hill_2014,395,816,7,6,7,7,7,7
2540,LMB,Pleasant Hill_2014,275,276,3,3,4,2,2,2
2541,LMB,Pleasant Hill_2014,288,298,3,3,2,2,2,2
2542,LMB,Pleasant Hill_2014,327,449,3,4,3,3,3,3
2543,LMB,Pleasant Hill_2014,301,317,3,3,3,3,3,3
2544,LMB,Pleasant Hill_2014,425,1106,8,4,7,7,8,5
2545,LMB,Pleasant Hill_2014,315,420,3,3,3,NA,NA,NA
2547,LMB,Pleasant Hill_2014,273,248,2,3,2,2,2,2
2548,LMB,Pleasant Hill_2014,259,185,2,2,2,2,2,2
2549,LMB,Pleasant Hill_2014,382,654,6,5,4,7,7,7
2575,LMB,Pleasant Hill_2014,366,678,4,4,4,4,4,4
2576,LMB,Pleasant Hill_2014,160,48,1,1,1,1,1,2
3700,LMB,Findley_2014,164,51,2,2,2,2,2,2
3701,LMB,Findley_2014,210,89,2,2,2,2,2,2
3702,LMB,Findley_2014,275,203,3,4,2,3,3,3
3703,LMB,Findley_2014,205,90,2,2,2,2,2,2
3704,LMB,Findley_2014,200,79,2,2,2,3,2,2
3705,LMB,Findley_2014,358,687,5,6,4,3,4,4
3707,LMB,Findley_2014,352,672,6,8,4,4,4,4
3709,LMB,Findley_2014,265,181,2,2,3,3,4,4
3710,LMB,Findley_2014,242,155,1,1,2,2,2,2
3711,LMB,Findley_2014,370,734,7,7,5,5,5,5
3712,LMB,Findley_2014,283,259,3,4,3,4,5,4
3713,LMB,Findley_2014,252,167,3,2,2,3,4,4
3714,LMB,Findley_2014,195,83,2,2,2,3,2,2
3715,LMB,Findley_2014,297,320,3,5,3,4,5,4
3716,LMB,Findley_2014,202,82,2,1,2,2,2,2
3717,LMB,Findley_2014,308,367,3,5,4,3,3,3
3718,LMB,Findley_2014,180,61,2,1,3,2,2,2
3719,LMB,Findley_2014,170,52,2,1,2,2,2,2
3720,LMB,Findley_2014,297,272,3,4,3,4,4,4
3721,LMB,Findley_2014,212,99,2,2,2,2,2,2
3722,LMB,Findley_2014,334,526,6,7,4,4,4,4
3723,LMB,Findley_2014,317,367,5,6,4,3,4,4
3724,LMB,Findley_2014,193,74,2,2,2,2,2,2
3725,LMB,Findley_2014,175,52,1,1,2,2,2,2
3726,LMB,Findley_2014,177,53,1,1,2,2,2,2
3727,LMB,Findley_2014,268,221,2,3,3,3,3,3
3728,LMB,Findley_2014,316,383,4,6,4,4,4,4
3729,LMB,Findley_2014,317,415,5,5,3,5,6,5
3730,LMB,Findley_2014,290,289,2,NA,2,3,3,3
3731,LMB,Findley_2014,254,185,2,2,2,3,2,2
3732,LMB,Findley_2014,184,66,2,2,2,2,2,2
3733,LMB,Findley_2014,213,105,2,2,2,2,2,2
3734,LMB,Findley_2014,367,740,5,6,4,4,4,4
3736,LMB,Findley_2014,182,57,1,2,2,3,2,2
3251,LMB,Highlandtown_2013,260,191,2,2,2,2,2,NA
3252,LMB,Highlandtown_2013,272,253,2,2,3,2,2,2
3253,LMB,Highlandtown_2013,151,37,1,1,1,1,1,1
3254,LMB,Highlandtown_2013,387,709,4,4,7,6,7,8
3255,LMB,Highlandtown_2013,268,226,2,2,2,2,2,2
3256,LMB,Highlandtown_2013,251,188,2,2,2,2,2,2
3257,LMB,Highlandtown_2013,258,202,3,2,4,2,2,2
3258,LMB,Highlandtown_2013,299,305,3,2,3,2,2,3
3260,LMB,Highlandtown_2013,329,459,4,3,5,4,4,4
3261,LMB,Highlandtown_2013,312,389,3,3,6,4,4,3
3262,LMB,Highlandtown_2013,318,408,5,3,9,4,3,5
3263,LMB,Highlandtown_2013,101,11,1,1,1,1,1,1
3264,LMB,Highlandtown_2013,132,24,1,1,1,1,1,1
3265,LMB,Highlandtown_2013,309,348,2,3,5,2,2,3
3266,LMB,Highlandtown_2013,311,400,3,3,4,NA,3,3
3267,LMB,Highlandtown_2013,295,284,2,2,3,3,3,3
3268,LMB,Highlandtown_2013,285,288,2,3,3,3,4,3
3269,LMB,Highlandtown_2013,110,13,1,1,1,1,1,1
3270,LMB,Highlandtown_2013,360,572,5,5,4,7,3,8
3271,LMB,Highlandtown_2013,142,34,1,1,1,1,2,1
3272,LMB,Highlandtown_2013,111,12,1,1,1,1,1,1
3273,LMB,Highlandtown_2013,126,19,1,1,1,1,2,1
3274,LMB,Highlandtown_2013,336,494,6,4,10,3,4,4
3276,LMB,Highlandtown_2013,137,28,1,1,1,1,2,1
3277,LMB,Highlandtown_2013,358,627,4,3,8,3,3,4
3278,LMB,Highlandtown_2013,129,19,1,1,1,1,1,1
3279,LMB,Highlandtown_2013,136,30,1,1,1,1,2,1
3280,LMB,Highlandtown_2013,308,331,3,2,3,3,3,2
3281,LMB,Highlandtown_2013,267,222,2,2,3,2,2,3
3282,LMB,Highlandtown_2013,375,665,6,4,12,6,3,7
3283,LMB,Highlandtown_2013,258,223,2,2,3,3,3,3
3285,LMB,Highlandtown_2013,402,846,4,4,9,8,3,10
3286,LMB,Highlandtown_2013,395,877,4,5,7,5,4,6
3287,LMB,Highlandtown_2013,323,405,4,4,7,3,5,5
3289,LMB,Highlandtown_2013,341,467,6,4,13,3,4,4
3290,LMB,Highlandtown_2013,380,606,2,3,6,6,6,8
3292,LMB,Highlandtown_2013,359,664,4,4,6,4,5,5
3293,LMB,Highlandtown_2013,333,488,5,4,9,6,6,6
3294,LMB,Highlandtown_2013,335,538,4,3,8,3,6,4
3295,LMB,Highlandtown_2013,302,345,4,4,6,3,4,3
3296,LMB,Highlandtown_2013,150,37,1,1,2,1,2,1
3297,LMB,Highlandtown_2013,147,35,1,1,1,1,2,1
3298,LMB,Highlandtown_2013,113,15,1,1,1,1,2,1
3299,LMB,Highlandtown_2013,292,305,2,2,5,4,7,4
3300,LMB,Highlandtown_2013,544,2850,7,5,12,12,11,15
3301,LMB,Highlandtown_2013,324,373,3,4,7,4,5,4
3302,LMB,Highlandtown_2013,345,512,4,4,6,3,5,4
3303,LMB,Highlandtown_2013,288,284,3,3,7,3,7,5
3304,LMB,Highlandtown_2013,229,133,1,2,4,2,2,2
3305,LMB,Highlandtown_2013,366,628,4,3,6,4,3,5
3306,LMB,Highlandtown_2013,127,21,1,1,1,1,1,1
3307,LMB,Highlandtown_2013,236,158,2,2,3,2,2,2
3308,LMB,Highlandtown_2013,156,37,1,1,1,1,1,1
3310,LMB,Highlandtown_2013,365,604,4,4,7,4,4,5
3311,LMB,Highlandtown_2013,97,8,1,1,1,1,1,1
3312,LMB,Highlandtown_2013,206,110,1,2,3,2,2,2
3313,LMB,Highlandtown_2013,399,843,5,4,9,8,4,8
3314,LMB,Highlandtown_2013,248,202,2,2,3,2,2,2
3315,LMB,Highlandtown_2013,359,550,4,4,6,5,3,5
3316,LMB,Highlandtown_2013,100,6,1,1,1,1,1,1
3317,LMB,Highlandtown_2013,400,825,5,6,7,7,3,6
3318,LMB,Highlandtown_2013,405,862,7,5,7,5,5,6
3319,LMB,Highlandtown_2013,73,4,1,1,1,1,NA,NA
3320,LMB,Highlandtown_2013,223,125,1,1,2,2,2,2
3321,LMB,Highlandtown_2013,374,634,4,5,6,5,4,5
3323,LMB,Highlandtown_2013,386,766,3,5,5,7,5,8
3324,LMB,Highlandtown_2013,391,664,NA,NA,NA,8,4,8
3325,LMB,Highlandtown_2013,343,478,3,5,7,3,3,5
3326,LMB,Highlandtown_2013,276,276,2,3,6,2,2,2
3327,LMB,Highlandtown_2013,227,139,1,2,4,2,2,2
3328,LMB,Highlandtown_2013,286,318,2,3,3,3,3,3
3329,LMB,Highlandtown_2013,243,176,2,2,6,2,2,2
3332,LMB,Highlandtown_2013,108,12,1,1,1,1,1,1
3333,LMB,Highlandtown_2013,249,174,2,2,3,2,2,2
3334,LMB,Highlandtown_2013,274,255,2,2,4,2,2,2
3335,LMB,Highlandtown_2013,230,135,2,2,2,2,2,2
3336,LMB,Highlandtown_2013,239,159,2,2,3,2,2,2
3337,LMB,Highlandtown_2013,217,119,2,2,5,2,2,2
3338,LMB,Highlandtown_2013,237,150,2,2,2,2,2,2
3339,LMB,Highlandtown_2014,195,74,2,2,2,2,2,2
3340,LMB,Highlandtown_2014,223,115,2,2,2,1,2,2
3341,LMB,Highlandtown_2014,360,570,3,3,3,6,5,6
3342,LMB,Highlandtown_2014,303,357,4,4,4,4,4,4
3343,LMB,Highlandtown_2014,201,83,2,2,2,1,2,2
3344,LMB,Highlandtown_2014,226,120,2,2,2,3,2,2
3345,LMB,Highlandtown_2014,232,134,2,2,4,3,3,3
3346,LMB,Highlandtown_2014,293,282,3,2,3,3,3,3
3347,LMB,Highlandtown_2014,209,92,2,2,2,2,2,2
3348,LMB,Highlandtown_2014,331,437,4,5,2,3,4,5
3349,LMB,Highlandtown_2014,201,82,1,1,2,2,2,2
3350,LMB,Highlandtown_2014,372,714,4,6,5,5,6,5
3351,LMB,Highlandtown_2014,244,165,2,2,3,3,3,3
3352,LMB,Highlandtown_2014,277,213,3,3,2,3,2,2
3353,LMB,Highlandtown_2014,372,696,6,7,5,6,5,5
3354,LMB,Highlandtown_2014,328,385,2,3,3,5,4,4
3355,LMB,Highlandtown_2014,304,407,3,4,4,4,4,4
3356,LMB,Highlandtown_2014,188,60,1,1,3,3,2,2
3357,LMB,Highlandtown_2014,212,86,1,1,2,3,2,2
3358,LMB,Highlandtown_2014,330,500,5,5,4,3,3,3
3359,LMB,Highlandtown_2014,314,386,3,3,3,5,5,5
3360,LMB,Highlandtown_2014,346,518,3,5,4,4,4,4
3361,LMB,Highlandtown_2014,370,643,4,8,5,4,5,5
3363,LMB,Highlandtown_2014,367,622,5,4,4,4,7,7
3364,LMB,Highlandtown_2014,439,1428,6,9,5,6,9,9
3369,LMB,Highlandtown_2014,194,68,1,1,2,3,2,2
3370,LMB,Highlandtown_2014,356,574,3,3,5,4,6,6
3373,LMB,Highlandtown_2014,281,257,2,3,3,3,3,3
3375,LMB,Highlandtown_2014,372,684,4,6,4,4,4,4
3376,LMB,Highlandtown_2014,320,444,4,4,4,3,4,4
3377,LMB,Highlandtown_2014,326,436,5,6,4,5,4,4
3378,LMB,Highlandtown_2014,298,336,2,2,3,3,3,3
3379,LMB,Highlandtown_2014,402,960,5,6,11,5,13,14
3380,LMB,Highlandtown_2014,412,894,5,8,8,4,9,9
3381,LMB,Highlandtown_2014,289,303,3,4,6,3,6,6
3382,LMB,Highlandtown_2014,333,402,4,3,6,3,4,4
3383,LMB,Highlandtown_2014,251,172,2,2,4,3,2,2
3450,LMB,Highlandtown_2014,311,349,3,3,3,3,3,3
3451,LMB,Highlandtown_2014,345,550,3,4,4,3,5,4
3452,LMB,Highlandtown_2014,380,727,5,8,6,4,4,4
3453,LMB,Highlandtown_2014,221,109,2,1,2,2,2,2
3455,LMB,Highlandtown_2014,418,1034,3,5,8,5,9,9
3456,LMB,Highlandtown_2014,342,524,3,4,6,4,5,4
3457,LMB,Highlandtown_2014,440,1212,7,9,8,6,7,7
3460,LMB,Highlandtown_2014,360,637,4,5,3,3,NA,3
3461,LMB,Highlandtown_2014,381,671,4,6,4,5,5,5
3462,LMB,Highlandtown_2014,381,721,3,4,8,5,8,9
3464,LMB,Highlandtown_2014,352,600,3,4,5,4,4,4
3469,LMB,Highlandtown_2014,463,1463,7,10,9,6,9,9
3470,LMB,Highlandtown_2014,108,11,1,1,2,1,1,1
3471,LMB,Highlandtown_2014,138,26,1,1,2,1,1,1
3473,LMB,Highlandtown_2014,195,70,2,2,3,2,2,2
3474,LMB,Highlandtown_2014,189,73,NA,2,2,2,2,2
3500,LMB,Long_2013,405,881,5,5,5,5,5,5
3501,LMB,Long_2013,397,898,NA,7,6,5,5,5
3502,LMB,Long_2013,223,142,2,2,2,2,2,2
3503,LMB,Long_2013,350,579,6,4,8,5,5,5
3504,LMB,Long_2013,334,586,4,5,6,4,4,4
3506,LMB,Long_2013,443,1166,6,6,5,8,7,8
3507,LMB,Long_2013,284,295,2,2,1,3,3,3
3508,LMB,Long_2013,370,664,3,4,5,5,4,5
3509,LMB,Long_2013,375,740,5,4,7,4,4,4
3510,LMB,Long_2013,392,851,3,6,7,5,5,5
3511,LMB,Long_2013,358,700,4,6,6,6,4,4
3512,LMB,Long_2013,207,113,2,2,1,2,3,2
3513,LMB,Long_2013,115,17,1,1,1,1,2,1
3514,LMB,Long_2013,449,1254,6,5,10,6,6,6
3515,LMB,Long_2013,310,418,4,3,6,4,4,4
3516,LMB,Long_2013,366,589,3,3,8,5,5,5
3517,LMB,Long_2013,295,321,2,3,5,3,3,3
3518,LMB,Long_2013,439,1304,6,6,10,10,10,11
3519,LMB,Long_2013,377,755,5,3,7,4,4,4
3520,LMB,Long_2013,386,722,3,3,2,6,5,6
3522,LMB,Long_2013,99,9,3,4,5,1,1,1
3523,LMB,Long_2013,480,1804,7,6,9,12,8,12
3524,LMB,Long_2013,317,458,1,1,1,4,4,4
3525,LMB,Long_2013,258,218,4,5,9,3,3,3
3526,LMB,Long_2013,283,260,3,3,3,3,3,3
3527,LMB,Long_2013,405,894,6,6,7,7,5,8
3528,LMB,Long_2013,198,77,2,2,2,2,2,2
3529,LMB,Long_2013,243,158,2,2,2,2,2,2
3530,LMB,Long_2013,254,173,2,2,2,2,2,2
3531,LMB,Long_2013,305,484,3,3,8,4,3,4
3532,LMB,Long_2013,294,294,3,3,4,3,3,3
3533,LMB,Long_2013,287,317,2,3,5,4,4,4
3534,LMB,Long_2013,215,106,2,2,2,2,2,2
3535,LMB,Long_2013,205,108,2,2,2,2,2,2
3536,LMB,Long_2013,468,1622,8,7,9,11,9,11
3537,LMB,Long_2013,501,1926,7,7,8,13,10,14
3538,LMB,Long_2013,466,1616,5,6,6,12,9,13
3539,LMB,Long_2013,249,187,2,2,2,3,3,3
3540,LMB,Long_2013,246,159,2,2,2,2,2,2
3541,LMB,Long_2013,234,147,2,2,2,3,3,3
3542,LMB,Long_2013,195,87,2,2,2,2,2,2
3543,LMB,Long_2013,231,135,2,2,1,2,2,2
3544,LMB,Long_2013,333,476,3,3,3,4,4,4
3545,LMB,Long_2013,305,346,3,2,3,3,4,4
3546,LMB,Long_2013,317,368,3,3,4,4,4,4
3547,LMB,Long_2013,266,241,2,2,2,3,3,3
3548,LMB,Long_2013,403,873,6,5,6,5,5,5
3549,LMB,Long_2013,204,88,2,2,2,2,2,2
3550,LMB,Long_2013,129,23,1,1,1,1,1,1
3551,LMB,Long_2013,185,71,1,2,2,2,2,2
3552,LMB,Long_2013,173,60,2,2,2,2,2,2
3553,LMB,Long_2013,136,24,1,1,1,1,2,1
3554,LMB,Long_2013,231,144,2,2,3,3,3,3
3555,LMB,Long_2013,481,1954,6,7,3,11,11,12
3556,LMB,Long_2013,483,1700,6,6,7,19,11,19
3557,LMB,Long_2013,293,319,2,2,2,3,3,3
3558,LMB,Long_2013,349,508,3,3,6,4,3,4
3559,LMB,Long_2013,437,1426,5,3,6,8,7,8
3560,LMB,Long_2013,392,880,3,3,3,5,5,5
3561,LMB,Long_2013,265,222,2,2,2,3,3,3
3562,LMB,Long_2013,279,243,2,2,2,3,3,3
3563,LMB,Long_2013,273,250,2,2,2,3,3,3
3564,LMB,Long_2013,216,105,2,2,2,2,2,2
3565,LMB,Long_2013,196,73,1,2,2,2,2,2
3566,LMB,Long_2013,136,25,1,1,1,1,2,1
3567,LMB,Long_2013,429,1185,7,5,8,5,5,5
3568,LMB,Long_2013,346,593,2,3,5,6,6,5
3569,LMB,Long_2013,364,593,4,4,5,5,5,4
3570,LMB,Long_2013,429,1126,5,4,5,6,6,6
3571,LMB,Long_2013,437,1207,5,4,7,10,9,10
3572,LMB,Long_2013,415,1125,6,5,6,7,7,6
3573,LMB,Long_2013,272,224,2,3,3,3,3,3
3574,LMB,Long_2013,156,42,1,1,1,2,2,2
3575,LMB,Long_2013,358,647,3,4,6,4,5,4
3576,LMB,Long_2013,490,1974,8,7,7,9,8,9
3577,LMB,Long_2013,381,814,NA,6,NA,5,4,5
3578,LMB,Long_2013,333,621,4,5,4,5,5,5
3579,LMB,Long_2013,222,118,2,2,2,2,2,2
3580,LMB,Long_2013,212,111,2,2,2,2,2,2
3581,LMB,Long_2013,180,70,2,2,2,2,2,2
3582,LMB,Long_2013,156,42,1,1,1,2,2,2
3583,LMB,Long_2013,260,213,2,2,NA,3,4,3
3584,LMB,Long_2013,470,1588,7,5,8,9,8,10
3585,LMB,Long_2013,503,1995,6,8,12,12,8,12
3586,LMB,Long_2013,442,1351,6,8,8,11,11,11
3587,LMB,Long_2013,507,1983,8,10,15,10,11,12
3588,LMB,Long_2013,225,119,2,2,4,2,2,2
3589,LMB,Long_2013,473,1565,6,6,11,15,10,15
3590,LMB,Long_2013,413,951,3,6,7,6,5,6
3591,LMB,Long_2013,340,539,4,4,7,5,3,5
3592,LMB,Long_2013,118,15,1,1,1,1,1,1
3593,LMB,Long_2013,532,2377,9,7,11,15,16,16
3594,LMB,Long_2013,413,1084,5,5,8,6,7,6
3595,LMB,Long_2013,424,1304,5,6,NA,6,5,6
3596,LMB,Long_2013,368,752,5,4,8,4,4,4
3597,LMB,Long_2013,122,18,1,1,1,1,1,1
3598,LMB,Long_2013,322,473,4,5,5,4,3,4
3599,LMB,Long_2013,323,417,3,2,5,5,4,5
3600,LMB,Long_2013,531,2548,NA,NA,NA,12,12,12
3601,LMB,Long_2013,255,201,2,2,3,3,3,3
3602,LMB,Long_2013,149,35,1,1,1,1,2,1
3603,LMB,Long_2013,524,2205,9,7,12,10,10,10
3604,LMB,Long_2013,469,1322,6,6,10,8,6,12
3605,LMB,Long_2013,309,399,3,2,6,4,4,4
3606,LMB,Long_2013,108,12,1,1,1,1,1,1
3607,LMB,Long_2013,185,72,2,2,2,2,2,2
3850,LMB,Spencer_2013,293,344,3,3,4,2,2,3
3851,LMB,Spencer_2013,246,188,2,2,2,2,2,3
3876,LMB,Spencer_2013,390,700,4,6,6,6,4,8
